	X.X	Y.Y
('C-27977_BALBc-1_X02_Y02_1324_135', 'Cell Type: B cells')	2674	865
('C-28001_BALBc-1_X02_Y02_1324_408', 'Cell Type: B cells')	2674	592
('C-28058_BALBc-1_X02_Y02_1325_209', 'Cell Type: B cells')	2675	791
('C-28143_BALBc-1_X02_Y02_1326_180', 'Cell Type: B cells')	2676	820
('C-28240_BALBc-1_X02_Y02_1327_430', 'Cell Type: B cells')	2677	570
('C-28326_BALBc-1_X02_Y02_1328_311', 'Cell Type: B cells')	2678	689
('C-28355_BALBc-1_X02_Y02_1328_671', 'Cell Type: B cells')	2678	329
('C-28450_BALBc-1_X02_Y02_1329_795', 'Cell Type: B cells')	2679	205
('C-28468_BALBc-1_X02_Y02_1329_935', 'Cell Type: B cells')	2679	65
('C-28590_BALBc-1_X02_Y02_1330_719', 'Cell Type: B cells')	2680	281
('C-28625_BALBc-1_X02_Y02_1331_165', 'Cell Type: B cells')	2681	835
('C-28658_BALBc-1_X02_Y02_1331_656', 'Cell Type: B cells')	2681	344
('C-28726_BALBc-1_X02_Y02_1332_561', 'Cell Type: B cells')	2682	439
('C-28748_BALBc-1_X02_Y02_1332_775', 'Cell Type: B cells')	2682	225
('C-28827_BALBc-1_X02_Y02_1333_879', 'Cell Type: B cells')	2683	121
('C-28880_BALBc-1_X02_Y02_1334_638', 'Cell Type: B cells')	2684	362
('C-29002_BALBc-1_X02_Y02_1336_613', 'Cell Type: B cells')	2686	387
('C-29036_BALBc-1_X02_Y02_1337_280', 'Cell Type: B cells')	2687	720
('C-29306_BALBc-1_X02_Y02_135_188', 'Cell Type: B cells')	1485	812
('C-29325_BALBc-1_X02_Y02_135_44', 'Cell Type: B cells')	1485	956
('C-29381_BALBc-1_X02_Y02_136_322', 'Cell Type: B cells')	1486	678
('C-29406_BALBc-1_X02_Y02_136_579', 'Cell Type: B cells')	1486	421
('C-29538_BALBc-1_X02_Y02_138_553', 'Cell Type: B cells')	1488	447
('C-29589_BALBc-1_X02_Y02_139_229', 'Cell Type: B cells')	1489	771
('C-29755_BALBc-1_X02_Y02_140_609', 'Cell Type: B cells')	1490	391
('C-29945_BALBc-1_X02_Y02_143_270', 'Cell Type: B cells')	1493	730
('C-29975_BALBc-1_X02_Y02_143_638', 'Cell Type: B cells')	1493	362
('C-29979_BALBc-1_X02_Y02_143_672', 'Cell Type: B cells')	1493	328
('C-30142_BALBc-1_X02_Y02_145_833', 'Cell Type: B cells')	1495	167
('C-30179_BALBc-1_X02_Y02_146_479', 'Cell Type: B cells')	1496	521
('C-30188_BALBc-1_X02_Y02_146_532', 'Cell Type: B cells')	1496	468
('C-30434_BALBc-1_X02_Y02_149_94', 'Cell Type: B cells')	1499	906
('C-30646_BALBc-1_X02_Y02_151_872', 'Cell Type: B cells')	1501	128
('C-30861_BALBc-1_X02_Y02_154_562', 'Cell Type: B cells')	1504	438
('C-30899_BALBc-1_X02_Y02_155_136', 'Cell Type: B cells')	1505	864
('C-30927_BALBc-1_X02_Y02_155_518', 'Cell Type: B cells')	1505	482
('C-31105_BALBc-1_X02_Y02_157_714', 'Cell Type: B cells')	1507	286
('C-31639_BALBc-1_X02_Y02_164_25', 'Cell Type: B cells')	1514	975
('C-31675_BALBc-1_X02_Y02_164_786', 'Cell Type: B cells')	1514	214
('C-31758_BALBc-1_X02_Y02_165_987', 'Cell Type: B cells')	1515	13
('C-31767_BALBc-1_X02_Y02_166_176', 'Cell Type: B cells')	1516	824
('C-31803_BALBc-1_X02_Y02_166_611', 'Cell Type: B cells')	1516	389
('C-31929_BALBc-1_X02_Y02_168_588', 'Cell Type: B cells')	1518	412
('C-31935_BALBc-1_X02_Y02_168_629', 'Cell Type: B cells')	1518	371
('C-32146_BALBc-1_X02_Y02_170_52', 'Cell Type: B cells')	1520	948
('C-32156_BALBc-1_X02_Y02_170_685', 'Cell Type: B cells')	1520	315
('C-32358_BALBc-1_X02_Y02_173_739', 'Cell Type: B cells')	1523	261
('C-32397_BALBc-1_X02_Y02_174_285', 'Cell Type: B cells')	1524	715
('C-32509_BALBc-1_X02_Y02_175_663', 'Cell Type: B cells')	1525	337
('C-32671_BALBc-1_X02_Y02_177_97', 'Cell Type: B cells')	1527	903
('C-32767_BALBc-1_X02_Y02_179_372', 'Cell Type: B cells')	1529	628
('C-32865_BALBc-1_X02_Y02_18_566', 'Cell Type: B cells')	1368	434
('C-32892_BALBc-1_X02_Y02_18_931', 'Cell Type: B cells')	1368	69
('C-33131_BALBc-1_X02_Y02_183_257', 'Cell Type: B cells')	1533	743
('C-33364_BALBc-1_X02_Y02_186_477', 'Cell Type: B cells')	1536	523
('C-33643_BALBc-1_X02_Y02_19_416', 'Cell Type: B cells')	1369	584
('C-33747_BALBc-1_X02_Y02_190_764', 'Cell Type: B cells')	1540	236
('C-33886_BALBc-1_X02_Y02_192_590', 'Cell Type: B cells')	1542	410
('C-34093_BALBc-1_X02_Y02_195_549', 'Cell Type: B cells')	1545	451
('C-34272_BALBc-1_X02_Y02_197_884', 'Cell Type: B cells')	1547	116
('C-34519_BALBc-1_X02_Y02_200_308', 'Cell Type: B cells')	1550	692
('C-34660_BALBc-1_X02_Y02_202_393', 'Cell Type: B cells')	1552	607
('C-34801_BALBc-1_X02_Y02_203_987', 'Cell Type: B cells')	1553	13
('C-34909_BALBc-1_X02_Y02_205_632', 'Cell Type: B cells')	1555	368
('C-34936_BALBc-1_X02_Y02_205_931', 'Cell Type: B cells')	1555	69
('C-35064_BALBc-1_X02_Y02_207_701', 'Cell Type: B cells')	1557	299
('C-35117_BALBc-1_X02_Y02_208_445', 'Cell Type: B cells')	1558	555
('C-35215_BALBc-1_X02_Y02_209_729', 'Cell Type: B cells')	1559	271
('C-35344_BALBc-1_X02_Y02_210_512', 'Cell Type: B cells')	1560	488
('C-35379_BALBc-1_X02_Y02_211_205', 'Cell Type: B cells')	1561	795
('C-35409_BALBc-1_X02_Y02_211_663', 'Cell Type: B cells')	1561	337
('C-35439_BALBc-1_X02_Y02_212_134', 'Cell Type: B cells')	1562	866
('C-35525_BALBc-1_X02_Y02_213_248', 'Cell Type: B cells')	1563	752
('C-35690_BALBc-1_X02_Y02_215_161', 'Cell Type: B cells')	1565	839
('C-36203_BALBc-1_X02_Y02_221_61', 'Cell Type: B cells')	1571	939
('C-36421_BALBc-1_X02_Y02_224_50', 'Cell Type: B cells')	1574	950
('C-36428_BALBc-1_X02_Y02_224_564', 'Cell Type: B cells')	1574	436
('C-36602_BALBc-1_X02_Y02_226_849', 'Cell Type: B cells')	1576	151
('C-36662_BALBc-1_X02_Y02_227_672', 'Cell Type: B cells')	1577	328
('C-37114_BALBc-1_X02_Y02_232_789', 'Cell Type: B cells')	1582	211
('C-37225_BALBc-1_X02_Y02_234_543', 'Cell Type: B cells')	1584	457
('C-37303_BALBc-1_X02_Y02_235_622', 'Cell Type: B cells')	1585	378
('C-37334_BALBc-1_X02_Y02_236_115', 'Cell Type: B cells')	1586	885
('C-37540_BALBc-1_X02_Y02_238_897', 'Cell Type: B cells')	1588	103
('C-37573_BALBc-1_X02_Y02_239_298', 'Cell Type: B cells')	1589	702
('C-37791_BALBc-1_X02_Y02_241_389', 'Cell Type: B cells')	1591	611
('C-37827_BALBc-1_X02_Y02_242_102', 'Cell Type: B cells')	1592	898
('C-37931_BALBc-1_X02_Y02_243_508', 'Cell Type: B cells')	1593	492
('C-38145_BALBc-1_X02_Y02_246_163', 'Cell Type: B cells')	1596	837
('C-38443_BALBc-1_X02_Y02_25_159', 'Cell Type: B cells')	1375	841
('C-38529_BALBc-1_X02_Y02_250_569', 'Cell Type: B cells')	1600	431
('C-38579_BALBc-1_X02_Y02_251_215', 'Cell Type: B cells')	1601	785
('C-38688_BALBc-1_X02_Y02_252_435', 'Cell Type: B cells')	1602	565
('C-38696_BALBc-1_X02_Y02_252_541', 'Cell Type: B cells')	1602	459
('C-38727_BALBc-1_X02_Y02_252_932', 'Cell Type: B cells')	1602	68
('C-38830_BALBc-1_X02_Y02_254_340', 'Cell Type: B cells')	1604	660
('C-38872_BALBc-1_X02_Y02_254_893', 'Cell Type: B cells')	1604	107
('C-38912_BALBc-1_X02_Y02_255_475', 'Cell Type: B cells')	1605	525
('C-39046_BALBc-1_X02_Y02_257_270', 'Cell Type: B cells')	1607	730
('C-39285_BALBc-1_X02_Y02_26_589', 'Cell Type: B cells')	1376	411
('C-39521_BALBc-1_X02_Y02_262_59', 'Cell Type: B cells')	1612	941
('C-39680_BALBc-1_X02_Y02_264_831', 'Cell Type: B cells')	1614	169
('C-39683_BALBc-1_X02_Y02_264_853', 'Cell Type: B cells')	1614	147
('C-39823_BALBc-1_X02_Y02_266_650', 'Cell Type: B cells')	1616	350
('C-40170_BALBc-1_X02_Y02_270_307', 'Cell Type: B cells')	1620	693
('C-40172_BALBc-1_X02_Y02_270_325', 'Cell Type: B cells')	1620	675
('C-40222_BALBc-1_X02_Y02_270_961', 'Cell Type: B cells')	1620	39
('C-40524_BALBc-1_X02_Y02_275_413', 'Cell Type: B cells')	1625	587
('C-40563_BALBc-1_X02_Y02_275_847', 'Cell Type: B cells')	1625	153
('C-40879_BALBc-1_X02_Y02_28_120', 'Cell Type: B cells')	1378	880
('C-41079_BALBc-1_X02_Y02_281_863', 'Cell Type: B cells')	1631	137
('C-41088_BALBc-1_X02_Y02_281_933', 'Cell Type: B cells')	1631	67
('C-41109_BALBc-1_X02_Y02_282_19', 'Cell Type: B cells')	1632	981
('C-41853_BALBc-1_X02_Y02_291_291', 'Cell Type: B cells')	1641	709
('C-41921_BALBc-1_X02_Y02_292_234', 'Cell Type: B cells')	1642	766
('C-41969_BALBc-1_X02_Y02_292_826', 'Cell Type: B cells')	1642	174
('C-42255_BALBc-1_X02_Y02_296_91', 'Cell Type: B cells')	1646	909
('C-42361_BALBc-1_X02_Y02_298_51', 'Cell Type: B cells')	1648	949
('C-42376_BALBc-1_X02_Y02_298_688', 'Cell Type: B cells')	1648	312
('C-42549_BALBc-1_X02_Y02_30_717', 'Cell Type: B cells')	1380	283
('C-42623_BALBc-1_X02_Y02_300_742', 'Cell Type: B cells')	1650	258
('C-42724_BALBc-1_X02_Y02_301_912', 'Cell Type: B cells')	1651	88
('C-43016_BALBc-1_X02_Y02_305_789', 'Cell Type: B cells')	1655	211
('C-43073_BALBc-1_X02_Y02_306_759', 'Cell Type: B cells')	1656	241
('C-43104_BALBc-1_X02_Y02_307_25', 'Cell Type: B cells')	1657	975
('C-43260_BALBc-1_X02_Y02_309_581', 'Cell Type: B cells')	1659	419
('C-43563_BALBc-1_X02_Y02_312_481', 'Cell Type: B cells')	1662	519
('C-43574_BALBc-1_X02_Y02_312_648', 'Cell Type: B cells')	1662	352
('C-43750_BALBc-1_X02_Y02_315_261', 'Cell Type: B cells')	1665	739
('C-43996_BALBc-1_X02_Y02_318_328', 'Cell Type: B cells')	1668	672
('C-44586_BALBc-1_X02_Y02_324_940', 'Cell Type: B cells')	1674	60
('C-44663_BALBc-1_X02_Y02_326_112', 'Cell Type: B cells')	1676	888
('C-44734_BALBc-1_X02_Y02_326_893', 'Cell Type: B cells')	1676	107
('C-44795_BALBc-1_X02_Y02_327_686', 'Cell Type: B cells')	1677	314
('C-44797_BALBc-1_X02_Y02_327_702', 'Cell Type: B cells')	1677	298
('C-44833_BALBc-1_X02_Y02_328_182', 'Cell Type: B cells')	1678	818
('C-44890_BALBc-1_X02_Y02_328_742', 'Cell Type: B cells')	1678	258
('C-45097_BALBc-1_X02_Y02_330_51', 'Cell Type: B cells')	1680	949
('C-45134_BALBc-1_X02_Y02_330_922', 'Cell Type: B cells')	1680	78
('C-45153_BALBc-1_X02_Y02_331_217', 'Cell Type: B cells')	1681	783
('C-45435_BALBc-1_X02_Y02_334_951', 'Cell Type: B cells')	1684	49
('C-45581_BALBc-1_X02_Y02_336_819', 'Cell Type: B cells')	1686	181
('C-45601_BALBc-1_X02_Y02_337_15', 'Cell Type: B cells')	1687	985
('C-45622_BALBc-1_X02_Y02_337_558', 'Cell Type: B cells')	1687	442
('C-45630_BALBc-1_X02_Y02_337_608', 'Cell Type: B cells')	1687	392
('C-45716_BALBc-1_X02_Y02_338_787', 'Cell Type: B cells')	1688	213
('C-45734_BALBc-1_X02_Y02_338_973', 'Cell Type: B cells')	1688	27
('C-46044_BALBc-1_X02_Y02_342_196', 'Cell Type: B cells')	1692	804
('C-46376_BALBc-1_X02_Y02_346_38', 'Cell Type: B cells')	1696	962
('C-46496_BALBc-1_X02_Y02_347_862', 'Cell Type: B cells')	1697	138
('C-46558_BALBc-1_X02_Y02_348_812', 'Cell Type: B cells')	1698	188
('C-46798_BALBc-1_X02_Y02_350_899', 'Cell Type: B cells')	1700	101
('C-46832_BALBc-1_X02_Y02_351_395', 'Cell Type: B cells')	1701	605
('C-47131_BALBc-1_X02_Y02_355_343', 'Cell Type: B cells')	1705	657
('C-47280_BALBc-1_X02_Y02_357_240', 'Cell Type: B cells')	1707	760
('C-47378_BALBc-1_X02_Y02_358_713', 'Cell Type: B cells')	1708	287
('C-47461_BALBc-1_X02_Y02_359_961', 'Cell Type: B cells')	1709	39
('C-47870_BALBc-1_X02_Y02_364_646', 'Cell Type: B cells')	1714	354
('C-47876_BALBc-1_X02_Y02_364_679', 'Cell Type: B cells')	1714	321
('C-47961_BALBc-1_X02_Y02_365_605', 'Cell Type: B cells')	1715	395
('C-48010_BALBc-1_X02_Y02_366_148', 'Cell Type: B cells')	1716	852
('C-48086_BALBc-1_X02_Y02_367_266', 'Cell Type: B cells')	1717	734
('C-48310_BALBc-1_X02_Y02_369_971', 'Cell Type: B cells')	1719	29
('C-48337_BALBc-1_X02_Y02_37_334', 'Cell Type: B cells')	1387	666
('C-48352_BALBc-1_X02_Y02_37_533', 'Cell Type: B cells')	1387	467
('C-48474_BALBc-1_X02_Y02_371_45', 'Cell Type: B cells')	1721	955
('C-48542_BALBc-1_X02_Y02_372_378', 'Cell Type: B cells')	1722	622
('C-48653_BALBc-1_X02_Y02_373_710', 'Cell Type: B cells')	1723	290
('C-48742_BALBc-1_X02_Y02_374_766', 'Cell Type: B cells')	1724	234
('C-48757_BALBc-1_X02_Y02_375_1002', 'Cell Type: B cells')	1725	-2
('C-48766_BALBc-1_X02_Y02_375_206', 'Cell Type: B cells')	1725	794
('C-49046_BALBc-1_X02_Y02_378_827', 'Cell Type: B cells')	1728	173
('C-49131_BALBc-1_X02_Y02_379_932', 'Cell Type: B cells')	1729	68
('C-49273_BALBc-1_X02_Y02_380_907', 'Cell Type: B cells')	1730	93
('C-49542_BALBc-1_X02_Y02_384_270', 'Cell Type: B cells')	1734	730
('C-49696_BALBc-1_X02_Y02_386_104', 'Cell Type: B cells')	1736	896
('C-49859_BALBc-1_X02_Y02_387_719', 'Cell Type: B cells')	1737	281
('C-49926_BALBc-1_X02_Y02_388_683', 'Cell Type: B cells')	1738	317
('C-49970_BALBc-1_X02_Y02_389_234', 'Cell Type: B cells')	1739	766
('C-50081_BALBc-1_X02_Y02_39_906', 'Cell Type: B cells')	1389	94
('C-50288_BALBc-1_X02_Y02_392_752', 'Cell Type: B cells')	1742	248
('C-50373_BALBc-1_X02_Y02_393_952', 'Cell Type: B cells')	1743	48
('C-50545_BALBc-1_X02_Y02_396_299', 'Cell Type: B cells')	1746	701
('C-50577_BALBc-1_X02_Y02_396_66', 'Cell Type: B cells')	1746	934
('C-50639_BALBc-1_X02_Y02_397_506', 'Cell Type: B cells')	1747	494
('C-50667_BALBc-1_X02_Y02_397_837', 'Cell Type: B cells')	1747	163
('C-50671_BALBc-1_X02_Y02_397_871', 'Cell Type: B cells')	1747	129
('C-50773_BALBc-1_X02_Y02_399_185', 'Cell Type: B cells')	1749	815
('C-50866_BALBc-1_X02_Y02_4_371', 'Cell Type: B cells')	1354	629
('C-51013_BALBc-1_X02_Y02_400_654', 'Cell Type: B cells')	1750	346
('C-51178_BALBc-1_X02_Y02_402_800', 'Cell Type: B cells')	1752	200
('C-51223_BALBc-1_X02_Y02_403_448', 'Cell Type: B cells')	1753	552
('C-51252_BALBc-1_X02_Y02_403_925', 'Cell Type: B cells')	1753	75
('C-51314_BALBc-1_X02_Y02_404_700', 'Cell Type: B cells')	1754	300
('C-51733_BALBc-1_X02_Y02_409_627', 'Cell Type: B cells')	1759	373
('C-51815_BALBc-1_X02_Y02_41_743', 'Cell Type: B cells')	1391	257
('C-51858_BALBc-1_X02_Y02_410_359', 'Cell Type: B cells')	1760	641
('C-51875_BALBc-1_X02_Y02_410_48', 'Cell Type: B cells')	1760	952
('C-51967_BALBc-1_X02_Y02_411_743', 'Cell Type: B cells')	1761	257
('C-52455_BALBc-1_X02_Y02_417_999', 'Cell Type: B cells')	1767	1
('C-52537_BALBc-1_X02_Y02_418_969', 'Cell Type: B cells')	1768	31
('C-52561_BALBc-1_X02_Y02_419_278', 'Cell Type: B cells')	1769	722
('C-52608_BALBc-1_X02_Y02_419_84', 'Cell Type: B cells')	1769	916
('C-52692_BALBc-1_X02_Y02_420_10', 'Cell Type: B cells')	1770	990
('C-52698_BALBc-1_X02_Y02_420_121', 'Cell Type: B cells')	1770	879
('C-52763_BALBc-1_X02_Y02_420_947', 'Cell Type: B cells')	1770	53
('C-52982_BALBc-1_X02_Y02_423_748', 'Cell Type: B cells')	1773	252
('C-53042_BALBc-1_X02_Y02_424_598', 'Cell Type: B cells')	1774	402
('C-53143_BALBc-1_X02_Y02_425_911', 'Cell Type: B cells')	1775	89
('C-53612_BALBc-1_X02_Y02_430_780', 'Cell Type: B cells')	1780	220
('C-53651_BALBc-1_X02_Y02_431_210', 'Cell Type: B cells')	1781	790
('C-53748_BALBc-1_X02_Y02_432_458', 'Cell Type: B cells')	1782	542
('C-53769_BALBc-1_X02_Y02_432_657', 'Cell Type: B cells')	1782	343
('C-53818_BALBc-1_X02_Y02_433_32', 'Cell Type: B cells')	1783	968
('C-53861_BALBc-1_X02_Y02_433_832', 'Cell Type: B cells')	1783	168
('C-53918_BALBc-1_X02_Y02_434_639', 'Cell Type: B cells')	1784	361
('C-53990_BALBc-1_X02_Y02_435_547', 'Cell Type: B cells')	1785	453
('C-54076_BALBc-1_X02_Y02_436_716', 'Cell Type: B cells')	1786	284
('C-54081_BALBc-1_X02_Y02_436_770', 'Cell Type: B cells')	1786	230
('C-54253_BALBc-1_X02_Y02_438_736', 'Cell Type: B cells')	1788	264
('C-54323_BALBc-1_X02_Y02_439_680', 'Cell Type: B cells')	1789	320
('C-54356_BALBc-1_X02_Y02_44_193', 'Cell Type: B cells')	1394	807
('C-54458_BALBc-1_X02_Y02_440_577', 'Cell Type: B cells')	1790	423
('C-54556_BALBc-1_X02_Y02_441_892', 'Cell Type: B cells')	1791	108
('C-54798_BALBc-1_X02_Y02_444_961', 'Cell Type: B cells')	1794	39
('C-54819_BALBc-1_X02_Y02_445_21', 'Cell Type: B cells')	1795	979
('C-54862_BALBc-1_X02_Y02_445_938', 'Cell Type: B cells')	1795	62
('C-55022_BALBc-1_X02_Y02_448_177', 'Cell Type: B cells')	1798	823
('C-55154_BALBc-1_X02_Y02_449_850', 'Cell Type: B cells')	1799	150
('C-55263_BALBc-1_X02_Y02_450_401', 'Cell Type: B cells')	1800	599
('C-55369_BALBc-1_X02_Y02_451_799', 'Cell Type: B cells')	1801	201
('C-55395_BALBc-1_X02_Y02_452_153', 'Cell Type: B cells')	1802	847
('C-55452_BALBc-1_X02_Y02_452_751', 'Cell Type: B cells')	1802	249
('C-55453_BALBc-1_X02_Y02_452_762', 'Cell Type: B cells')	1802	238
('C-55520_BALBc-1_X02_Y02_453_611', 'Cell Type: B cells')	1803	389
('C-55535_BALBc-1_X02_Y02_453_779', 'Cell Type: B cells')	1803	221
('C-55769_BALBc-1_X02_Y02_456_717', 'Cell Type: B cells')	1806	283
('C-55815_BALBc-1_X02_Y02_457_41', 'Cell Type: B cells')	1807	959
('C-55836_BALBc-1_X02_Y02_457_651', 'Cell Type: B cells')	1807	349
('C-55853_BALBc-1_X02_Y02_457_820', 'Cell Type: B cells')	1807	180
('C-55927_BALBc-1_X02_Y02_458_893', 'Cell Type: B cells')	1808	107
('C-56318_BALBc-1_X02_Y02_462_867', 'Cell Type: B cells')	1812	133
('C-56467_BALBc-1_X02_Y02_465_167', 'Cell Type: B cells')	1815	833
('C-56525_BALBc-1_X02_Y02_465_852', 'Cell Type: B cells')	1815	148
('C-56552_BALBc-1_X02_Y02_466_269', 'Cell Type: B cells')	1816	731
('C-56674_BALBc-1_X02_Y02_467_624', 'Cell Type: B cells')	1817	376
('C-56705_BALBc-1_X02_Y02_467_999', 'Cell Type: B cells')	1817	1
('C-56787_BALBc-1_X02_Y02_469_24', 'Cell Type: B cells')	1819	976
('C-56914_BALBc-1_X02_Y02_47_868', 'Cell Type: B cells')	1397	132
('C-57003_BALBc-1_X02_Y02_470_953', 'Cell Type: B cells')	1820	47
('C-57113_BALBc-1_X02_Y02_472_681', 'Cell Type: B cells')	1822	319
('C-57374_BALBc-1_X02_Y02_475_756', 'Cell Type: B cells')	1825	244
('C-57405_BALBc-1_X02_Y02_476_220', 'Cell Type: B cells')	1826	780
('C-57527_BALBc-1_X02_Y02_477_735', 'Cell Type: B cells')	1827	265
('C-57580_BALBc-1_X02_Y02_478_330', 'Cell Type: B cells')	1828	670
('C-57688_BALBc-1_X02_Y02_479_626', 'Cell Type: B cells')	1829	374
('C-57711_BALBc-1_X02_Y02_48_105', 'Cell Type: B cells')	1398	895
('C-57920_BALBc-1_X02_Y02_481_785', 'Cell Type: B cells')	1831	215
('C-58105_BALBc-1_X02_Y02_484_252', 'Cell Type: B cells')	1834	748
('C-58124_BALBc-1_X02_Y02_484_432', 'Cell Type: B cells')	1834	568
('C-58170_BALBc-1_X02_Y02_484_987', 'Cell Type: B cells')	1834	13
('C-58222_BALBc-1_X02_Y02_485_578', 'Cell Type: B cells')	1835	422
('C-58242_BALBc-1_X02_Y02_485_832', 'Cell Type: B cells')	1835	168
('C-58476_BALBc-1_X02_Y02_488_845', 'Cell Type: B cells')	1838	155
('C-58566_BALBc-1_X02_Y02_489_956', 'Cell Type: B cells')	1839	44
('C-58719_BALBc-1_X02_Y02_491_17', 'Cell Type: B cells')	1841	983
('C-58720_BALBc-1_X02_Y02_491_183', 'Cell Type: B cells')	1841	817
('C-58765_BALBc-1_X02_Y02_491_801', 'Cell Type: B cells')	1841	199
('C-58869_BALBc-1_X02_Y02_493_117', 'Cell Type: B cells')	1843	883
('C-58906_BALBc-1_X02_Y02_493_620', 'Cell Type: B cells')	1843	380
('C-58994_BALBc-1_X02_Y02_494_645', 'Cell Type: B cells')	1844	355
('C-59111_BALBc-1_X02_Y02_496_195', 'Cell Type: B cells')	1846	805
('C-59190_BALBc-1_X02_Y02_496_937', 'Cell Type: B cells')	1846	63
('C-59361_BALBc-1_X02_Y02_499_164', 'Cell Type: B cells')	1849	836
('C-59627_BALBc-1_X02_Y02_501_380', 'Cell Type: B cells')	1851	620
('C-59630_BALBc-1_X02_Y02_501_406', 'Cell Type: B cells')	1851	594
('C-59720_BALBc-1_X02_Y02_502_671', 'Cell Type: B cells')	1852	329
('C-59726_BALBc-1_X02_Y02_502_707', 'Cell Type: B cells')	1852	293
('C-59879_BALBc-1_X02_Y02_504_867', 'Cell Type: B cells')	1854	133
('C-59993_BALBc-1_X02_Y02_506_250', 'Cell Type: B cells')	1856	750
('C-60209_BALBc-1_X02_Y02_508_95', 'Cell Type: B cells')	1858	905
('C-60246_BALBc-1_X02_Y02_509_500', 'Cell Type: B cells')	1859	500
('C-60484_BALBc-1_X02_Y02_511_481', 'Cell Type: B cells')	1861	519
('C-60509_BALBc-1_X02_Y02_511_799', 'Cell Type: B cells')	1861	201
('C-60571_BALBc-1_X02_Y02_512_687', 'Cell Type: B cells')	1862	313
('C-60617_BALBc-1_X02_Y02_513_306', 'Cell Type: B cells')	1863	694
('C-60829_BALBc-1_X02_Y02_515_980', 'Cell Type: B cells')	1865	20
('C-60871_BALBc-1_X02_Y02_516_759', 'Cell Type: B cells')	1866	241
('C-61279_BALBc-1_X02_Y02_520_66', 'Cell Type: B cells')	1870	934
('C-61334_BALBc-1_X02_Y02_521_353', 'Cell Type: B cells')	1871	647
('C-61348_BALBc-1_X02_Y02_521_546', 'Cell Type: B cells')	1871	454
('C-61372_BALBc-1_X02_Y02_521_896', 'Cell Type: B cells')	1871	104
('C-61534_BALBc-1_X02_Y02_523_860', 'Cell Type: B cells')	1873	140
('C-61617_BALBc-1_X02_Y02_525_120', 'Cell Type: B cells')	1875	880
('C-61773_BALBc-1_X02_Y02_527_152', 'Cell Type: B cells')	1877	848
('C-61824_BALBc-1_X02_Y02_527_636', 'Cell Type: B cells')	1877	364
('C-61842_BALBc-1_X02_Y02_527_845', 'Cell Type: B cells')	1877	155
('C-61916_BALBc-1_X02_Y02_528_823', 'Cell Type: B cells')	1878	177
('C-61962_BALBc-1_X02_Y02_529_428', 'Cell Type: B cells')	1879	572
('C-61994_BALBc-1_X02_Y02_529_877', 'Cell Type: B cells')	1879	123
('C-62001_BALBc-1_X02_Y02_529_999', 'Cell Type: B cells')	1879	1
('C-62024_BALBc-1_X02_Y02_53_346', 'Cell Type: B cells')	1403	654
('C-62088_BALBc-1_X02_Y02_530_268', 'Cell Type: B cells')	1880	732
('C-62119_BALBc-1_X02_Y02_530_680', 'Cell Type: B cells')	1880	320
('C-62139_BALBc-1_X02_Y02_530_910', 'Cell Type: B cells')	1880	90
('C-62142_BALBc-1_X02_Y02_530_925', 'Cell Type: B cells')	1880	75
('C-62170_BALBc-1_X02_Y02_531_40', 'Cell Type: B cells')	1881	960
('C-62352_BALBc-1_X02_Y02_533_593', 'Cell Type: B cells')	1883	407
('C-62487_BALBc-1_X02_Y02_535_456', 'Cell Type: B cells')	1885	544
('C-62584_BALBc-1_X02_Y02_536_793', 'Cell Type: B cells')	1886	207
('C-62698_BALBc-1_X02_Y02_538_395', 'Cell Type: B cells')	1888	605
('C-62842_BALBc-1_X02_Y02_54_556', 'Cell Type: B cells')	1404	444
('C-62982_BALBc-1_X02_Y02_541_688', 'Cell Type: B cells')	1891	312
('C-63073_BALBc-1_X02_Y02_542_677', 'Cell Type: B cells')	1892	323
('C-63152_BALBc-1_X02_Y02_543_663', 'Cell Type: B cells')	1893	337
('C-63263_BALBc-1_X02_Y02_544_724', 'Cell Type: B cells')	1894	276
('C-63356_BALBc-1_X02_Y02_545_764', 'Cell Type: B cells')	1895	236
('C-63594_BALBc-1_X02_Y02_548_836', 'Cell Type: B cells')	1898	164
('C-63611_BALBc-1_X02_Y02_548_990', 'Cell Type: B cells')	1898	10
('C-63621_BALBc-1_X02_Y02_549_222', 'Cell Type: B cells')	1899	778
('C-63732_BALBc-1_X02_Y02_55_601', 'Cell Type: B cells')	1405	399
('C-63834_BALBc-1_X02_Y02_550_878', 'Cell Type: B cells')	1900	122
('C-64028_BALBc-1_X02_Y02_553_519', 'Cell Type: B cells')	1903	481
('C-64073_BALBc-1_X02_Y02_553_924', 'Cell Type: B cells')	1903	76
('C-64372_BALBc-1_X02_Y02_558_116', 'Cell Type: B cells')	1908	884
('C-64456_BALBc-1_X02_Y02_558_995', 'Cell Type: B cells')	1908	5
('C-64463_BALBc-1_X02_Y02_559_16', 'Cell Type: B cells')	1909	984
('C-64505_BALBc-1_X02_Y02_559_58', 'Cell Type: B cells')	1909	942
('C-64571_BALBc-1_X02_Y02_56_412', 'Cell Type: B cells')	1406	588
('C-64626_BALBc-1_X02_Y02_560_186', 'Cell Type: B cells')	1910	814
('C-64676_BALBc-1_X02_Y02_560_746', 'Cell Type: B cells')	1910	254
('C-64706_BALBc-1_X02_Y02_561_129', 'Cell Type: B cells')	1911	871
