	X.X	Y.Y
('C-38523_BALBc-1_X01_Y01_250_505', 'Cell Type: B cells')	250	1495
('C-38805_BALBc-1_X01_Y01_253_960', 'Cell Type: B cells')	253	1040
('C-38981_BALBc-1_X01_Y01_256_369', 'Cell Type: B cells')	256	1631
('C-39031_BALBc-1_X01_Y01_256_980', 'Cell Type: B cells')	256	1020
('C-39262_BALBc-1_X01_Y01_26_273', 'Cell Type: B cells')	26	1727
('C-39659_BALBc-1_X01_Y01_264_554', 'Cell Type: B cells')	264	1446
('C-39807_BALBc-1_X01_Y01_266_477', 'Cell Type: B cells')	266	1523
('C-39811_BALBc-1_X01_Y01_266_516', 'Cell Type: B cells')	266	1484
('C-40558_BALBc-1_X01_Y01_275_814', 'Cell Type: B cells')	275	1186
('C-41204_BALBc-1_X01_Y01_283_369', 'Cell Type: B cells')	283	1631
('C-41354_BALBc-1_X01_Y01_285_575', 'Cell Type: B cells')	285	1425
('C-41940_BALBc-1_X01_Y01_292_456', 'Cell Type: B cells')	292	1544
('C-41976_BALBc-1_X01_Y01_292_937', 'Cell Type: B cells')	292	1063
('C-42301_BALBc-1_X01_Y01_297_556', 'Cell Type: B cells')	297	1444
('C-42630_BALBc-1_X01_Y01_300_775', 'Cell Type: B cells')	300	1225
('C-42740_BALBc-1_X01_Y01_302_128', 'Cell Type: B cells')	302	1872
('C-43040_BALBc-1_X01_Y01_306_364', 'Cell Type: B cells')	306	1636
('C-43178_BALBc-1_X01_Y01_308_412', 'Cell Type: B cells')	308	1588
('C-43217_BALBc-1_X01_Y01_308_969', 'Cell Type: B cells')	308	1031
('C-43287_BALBc-1_X01_Y01_309_987', 'Cell Type: B cells')	309	1013
('C-43697_BALBc-1_X01_Y01_314_444', 'Cell Type: B cells')	314	1556
('C-43943_BALBc-1_X01_Y01_317_804', 'Cell Type: B cells')	317	1196
('C-44052_BALBc-1_X01_Y01_318_913', 'Cell Type: B cells')	318	1087
('C-44139_BALBc-1_X01_Y01_32_289', 'Cell Type: B cells')	32	1711
('C-44170_BALBc-1_X01_Y01_32_755', 'Cell Type: B cells')	32	1245
