,tissue,histology,sub-histology,gender,Custom
JJN3,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
NUDHL1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
CL14,large_intestine,carcinoma,NS,M,Unknown
KYO1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
JL1,pleura,mesothelioma,NS,M,Unknown
CAL148,breast,carcinoma,ductal_carcinoma,F,Unknown
NALM19,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
HPBALL,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
SUPT11,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,peripheral_T_cell_lymphoma_unspecified,M,Unknown
CL40,large_intestine,carcinoma,NS,F,Unknown
MDAMB134VI,breast,carcinoma,ductal_carcinoma,F,Unknown
HCC1500,breast,carcinoma,ductal_carcinoma,F,Unknown
HCC1599,breast,carcinoma,ductal_carcinoma,F,Unknown
SUPHD1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,M,Unknown
MOTN1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,T_cell_large_granular_lymphocytic_leukaemia,F,Unknown
OCIAML3,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
SUDHL10,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
SUDHL4,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
RH41,soft_tissue,rhabdomyosarcoma,alveolar,F,Unknown
OCILY19,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,F,Unknown
MOLM6,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
SKMM2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
KASUMI6,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
HS698T,large_intestine,carcinoma,adenocarcinoma,M,Unknown
UACC893,breast,carcinoma,ductal_carcinoma,F,Unknown
MINO,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,mantle_cell_lymphoma,M,Unknown
CHP126,autonomic_ganglia,neuroblastoma,NS,F,Unknown
COLO680N,oesophagus,carcinoma,squamous_cell_carcinoma,F,Unknown
COLO678,large_intestine,carcinoma,adenocarcinoma,M,Unknown
LAMA84,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
CMLT1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
EHEB,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,F,Unknown
CAL54,kidney,carcinoma,renal_cell_carcinoma,M,Unknown
BV173,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
DOHH2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
EOL1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
NALM6,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
VMCUB1,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
LP1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
LXF289,lung,carcinoma,adenocarcinoma,M,Unknown
MONOMAC1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
PL21,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
PF382,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,F,Unknown
NALM1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
OCIAML2,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
MHHCALL3,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,F,Unknown
JURLMK1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
OCIAML5,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
KE37,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
JK1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,M,Unknown
RI1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,F,Unknown
KARPAS422,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NA,Unknown
L540,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,F,Unknown
CAL78,bone,chondrosarcoma,dedifferentiated,M,Unknown
HDQP1,breast,carcinoma,ductal_carcinoma,F,Unknown
MHHCALL4,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
MUTZ5,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
ONCODG1,ovary,carcinoma,adenocarcinoma,F,Unknown
HDLM2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,M,Unknown
CAL29,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
KOPN8,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,F,Unknown
HCC95,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
253J,urinary_tract,carcinoma,transitional_cell_carcinoma,NA,Unknown
HCC1438,lung,carcinoma,large_cell_carcinoma,M,Unknown
253JBV,urinary_tract,carcinoma,transitional_cell_carcinoma,U,Unknown
RPMI7951,skin,malignant_melanoma,NS,F,Unknown
SNU1066,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SNU1041,upper_aerodigestive_tract,carcinoma,NS,NA,Unknown
HCC2108,lung,carcinoma,adenocarcinoma,M,Unknown
COLO783,skin,malignant_melanoma,NS,F,Unknown
HCC1359,lung,carcinoma,large_cell_carcinoma,F,Unknown
BICR31,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
COV362,ovary,carcinoma,NS,F,Unknown
COLO792,skin,malignant_melanoma,NS,M,Unknown
COV434,ovary,sex_cord-stromal_tumour,granulosa_cell_tumour,F,Unknown
WM983B,skin,malignant_melanoma,NS,NA,Unknown
HS751T,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,NA,Unknown
LS513,large_intestine,carcinoma,adenocarcinoma,M,Unknown
NCIH2110,lung,carcinoma,non_small_cell_carcinoma,NA,Unknown
CHAGOK1,lung,carcinoma,NS,M,Unknown
DMS454,lung,carcinoma,small_cell_carcinoma,M,Unknown
CORL47,lung,carcinoma,small_cell_carcinoma,M,Unknown
FTC238,thyroid,carcinoma,follicular_carcinoma,M,Unknown
DMS273,lung,carcinoma,small_cell_carcinoma,F,Unknown
FTC133,thyroid,carcinoma,follicular_carcinoma,M,Unknown
CORL311,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH2286,lung,carcinoma,small_cell_carcinoma,F,Unknown
NCIH1339,lung,carcinoma,small_cell_carcinoma,F,Unknown
WM793,skin,malignant_melanoma,NS,NA,Unknown
A704,kidney,carcinoma,renal_cell_carcinoma,M,Unknown
MDAMB435S,skin,malignant_melanoma,NS,F,Unknown
WM1799,skin,malignant_melanoma,NS,NA,Unknown
MEWO,skin,malignant_melanoma,NS,M,Unknown
WM88,skin,malignant_melanoma,NS,NA,Unknown
NCIH2081,lung,carcinoma,small_cell_carcinoma,F,Unknown
HS255T,large_intestine,carcinoma,adenocarcinoma,F,Unknown
NCIH1092,lung,carcinoma,small_cell_carcinoma,M,Unknown
SW837,large_intestine,carcinoma,adenocarcinoma,M,Unknown
JHH6,liver,carcinoma,hepatocellular_carcinoma,F,Unknown
IGR1,skin,malignant_melanoma,NS,M,Unknown
NCIH1105,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH1436,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH1876,lung,carcinoma,small_cell_carcinoma,M,Unknown
CORL24,lung,carcinoma,small_cell_carcinoma,M,Unknown
COV644,ovary,carcinoma,NS,F,Unknown
GP2D,large_intestine,carcinoma,adenocarcinoma,F,Unknown
PECAPJ15,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
